channel-uf,channel-city,channel-network,channel-name,channel-codec,channel-resolution,tvg-id,tvg-name,url-tvg,tvg-language,tvg-country,tvg-logo,group-title,shift,audio-track,aspect-ratio,subtitles,background,url
CE,Fortaleza,Futura,Canal FDR,h264,1080,CanalFDR.br(m3u4u),Canal FDR,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Educativo,-3,por,16:9,por,#000000,https://stmv1.transmissaodigital.com/ronald6259/ronald6259/playlist.m3u8
CE,Fortaleza,Rede Legislativa,TV Assembleia Legislativa Ceará,h264,720,AssembleiaLegislativaCeara.br(m3u4u),TV Assembleia Legislativa Ceará,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,https://i.imgur.com/oDDuqms.png,Legislativo,-3,por,16:9,por,#000000,https://jjn5dkk9bd.zoeweb.tv/z404-live/stream/playlist.m3u8
CE,Fortaleza,SBT,TV Jangadeiro,h264,1080,TVJangadeiro.br(m3u4u),TV Jangadeiro,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://5a1c76baf08c0.streamlock.net/tvsd2/smil:tvsd2_20042020.smil/playlist.m3u8
CE,Fortaleza,sem rede,TV Diário,h264,1080,TV.DIÁRIO.FORTALEZA.e.NATAL.br,TV Diário,https://github.com/epgshare01/share01/blob/master/epg_ripper_BR1.xml.gz?raw=true,Portuguese,BR,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/TV_Di%C3%A1rio_logo.svg/500px-TV_Di%C3%A1rio_logo.svg.png,Geral,-3,por,16:9,por,#000000,https://www.dailymotion.com/video/x7txn7q
CE,Fortaleza,TV Brasil/TV Cultura,TV Ceará,h264,1080,TV.CEARA.br,TV Ceará,https://github.com/epgshare01/share01/blob/master/epg_ripper_BR1.xml.gz?raw=true,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://cdn.jmvstream.com/w/AVJ-9889/playlist/playlist.m3u8
CE,Fortaleza,TV Universal,TV Capital,h264,1080,,TV Capital,,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://stmv1.srvif.com/rbc/rbc/playlist.m3u8
DF,Brasília,RecordTV,RecordTV Brasília,h264,1080,RecordTVBrasilia.br(m3u4u),RecordTV Brasília,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,https://upload.wikimedia.org/wikipedia/pt/2/2a/Logotipo_da_RecordTV_Bras%C3%ADlia.png,Geral,-3,por,16:9,por,#000000,https://playplusbsa-lh.akamaihd.net/i/pp_bsa@377860/master.m3u8
DF,Brasília,Rede Legislativa,TV Câmara,h264,720,TVCamara.br(m3u4u),TV Câmara,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,https://logodownload.org/wp-content/uploads/2019/01/tv-camara-logo.png,Legislativo,-3,por,16:9,por,#000000,https://stream3.camara.gov.br/tv1/manifest.m3u8
DF,Brasília,Rede Legislativa,TV Câmara 2,h264,720,,TV Câmara 2,,Portuguese,BR,,Legislativo,-3,por,16:9,por,#000000,https://stream3.camara.gov.br/tv2/manifest.m3u8
DF,Brasília,Rede Legislativa,TV Senado,wmv3,360,TVSenado.br(m3u4u),TV Senado,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/TV_Senado.svg/1280px-TV_Senado.svg.png,Legislativo,-3,por,16:9,por,#000000,rtsp://drix.senado.gov.br/tv1
DF,Brasília,Rede União,TV União Brasília,h264,1080,,TV União Brasília,,Portuguese,BR,https://tvuniaobrasilia.com.br/wp-content/uploads/2020/01/Lg_Tv_Uniao_Bsb_Canal_300px.png,Geral,-3,por,16:9,por,#000000,https://596639ebdd89b.streamlock.net/tvuniao/tvuniao/playlist.m3u8
DF,Brasília,SBT,SBT Brasília,h264,1080,,SBT Brasília,,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://www.youtube.com/user/TVSBTBrasilia/live
DF,Brasília,sem rede,ALL Sports TV,h264,720,,ALL Sports TV,,Portuguese,BR,https://i.imgur.com/T37KWjg.png,Esportes,-3,por,16:9,por,#000000,https://5cf4a2c2512a2.streamlock.net/dgrau/dgrau/chunklist.m3u8
